freq;euc;cana;ban;coco;cafe;gesso
37.21;31.12;22.86;21.91;23.29;15.77;47.95
37.76;30.93;23.19;22.12;22.94;16.11;48.14
38.30;30.98;23.53;22.27;22.73;16.46;48.35
38.86;31.27;23.89;22.36;22.64;16.83;48.58
39.43;31.75;24.25;22.38;22.65;17.23;48.84
40.00;32.37;24.62;22.35;22.73;17.65;49.15
40.58;33.09;24.99;22.27;22.88;18.10;49.49
41.17;33.86;25.36;22.17;23.09;18.56;49.87
41.77;34.59;25.73;22.05;23.34;19.02;50.28
42.38;35.22;26.12;21.94;23.62;19.45;50.73
43.00;35.69;26.51;21.82;23.92;19.86;51.23
43.62;35.99;26.93;21.69;24.24;20.25;51.77
44.26;36.16;27.38;21.55;24.58;20.65;52.38
44.90;36.26;27.86;21.40;24.97;21.09;53.05
45.55;36.39;28.37;21.23;25.43;21.58;53.74
46.21;36.63;28.86;21.02;25.95;22.14;54.38
46.89;37.05;29.30;20.78;26.53;22.77;54.92
47.57;37.67;29.69;20.51;27.16;23.44;55.36
48.26;38.44;30.04;20.22;27.80;24.12;55.72
48.96;39.24;30.40;19.95;28.43;24.79;55.99
49.67;39.98;30.82;19.76;29.02;25.43;56.07
50.40;40.61;31.29;19.68;29.58;26.01;55.83
51.13;41.23;31.80;19.78;30.08;26.53;55.24
51.87;41.95;32.33;20.10;30.53;27.01;54.36
52.63;42.73;32.87;20.66;30.96;27.49;53.39
53.39;43.27;33.40;21.48;31.41;28.03;52.53
54.17;43.22;33.91;22.59;31.93;28.65;51.90
54.96;42.39;34.33;23.97;32.52;29.37;51.53
55.76;40.86;34.54;25.55;33.12;30.14;51.24
56.57;38.84;34.44;27.13;33.63;30.86;50.76
57.39;36.46;33.88;28.41;33.90;31.37;49.73
58.23;33.76;32.70;29.04;33.74;31.42;47.89
59.07;30.70;30.77;28.74;32.87;30.68;45.26
59.93;27.29;28.12;27.45;30.98;28.84;42.03
60.80;23.64;24.96;25.31;27.90;25.87;38.49
61.69;20.03;21.68;22.65;23.83;22.16;34.96
62.59;16.75;18.65;19.93;19.46;18.45;31.79
63.50;13.99;16.11;17.65;15.67;15.51;29.43
64.42;11.79;14.24;16.12;13.04;13.83;28.19
65.36;10.15;13.20;15.36;11.78;13.54;28.12
66.31;9.22;13.09;15.25;11.67;14.45;28.96
67.27;9.13;13.72;15.64;12.32;16.10;30.31
68.25;9.90;14.69;16.35;13.26;17.92;31.73
69.24;11.33;15.65;17.21;14.17;19.40;32.96
70.25;13.09;16.37;18.10;14.87;20.26;33.86
71.27;14.78;16.74;18.96;15.29;20.42;34.36
72.31;16.01;16.70;19.77;15.42;19.94;34.46
73.36;16.50;16.18;20.45;15.25;18.89;34.20
74.43;16.18;15.26;20.88;14.80;17.36;33.65
75.51;15.29;14.11;20.96;14.20;15.56;32.98
76.61;14.20;12.99;20.79;13.68;13.81;32.37
77.72;13.19;12.09;20.56;13.46;12.41;31.99
78.85;12.32;11.43;20.40;13.65;11.50;31.95
80.00;11.51;10.86;20.17;14.15;11.00;32.25
81.16;10.76;10.27;19.68;14.73;10.74;32.78
82.34;10.12;9.66;18.82;15.11;10.54;33.36
83.54;9.68;9.12;17.67;15.15;10.26;33.82
84.76;9.50;8.69;16.42;14.78;9.88;34.06
85.99;9.56;8.37;15.30;14.09;9.42;34.11
87.24;9.73;8.15;14.46;13.25;8.97;34.05
88.51;9.91;8.07;13.96;12.41;8.61;33.98
89.80;10.00;8.22;13.75;11.72;8.39;34.00
91.10;10.02;8.66;13.79;11.30;8.39;34.14
92.43;10.04;9.42;14.03;11.21;8.63;34.45
93.77;10.17;10.46;14.42;11.43;9.11;34.88
95.14;10.49;11.70;14.87;11.89;9.76;35.38
96.52;11.11;13.08;15.29;12.58;10.58;35.87
97.92;12.17;14.64;15.78;13.64;11.68;36.34
99.35;13.71;16.40;16.61;15.18;13.15;36.84
100.79;15.63;18.21;18.08;17.08;14.90;37.39
102.26;17.56;19.74;20.23;18.95;16.57;37.98
103.75;19.05;20.66;22.71;20.32;17.70;38.53
105.26;19.90;20.89;24.93;20.96;18.11;38.97
106.79;20.22;20.66;26.38;20.97;17.96;39.29
108.34;20.26;20.27;26.89;20.67;17.56;39.54
109.92;20.29;19.95;26.74;20.35;17.18;39.78
111.52;20.48;19.78;26.42;20.18;16.93;40.05
113.14;20.98;19.78;26.27;20.19;16.81;40.37
114.78;21.84;19.94;26.41;20.35;16.79;40.71
116.45;22.98;20.22;26.77;20.57;16.81;41.04
118.15;24.19;20.51;27.31;20.84;16.88;41.34
119.87;25.24;20.68;28.08;21.15;16.98;41.59
121.61;26.01;20.66;29.19;21.50;17.14;41.81
123.38;26.41;20.47;30.58;21.81;17.28;42.01
125.17;26.46;20.17;31.83;21.95;17.33;42.21
126.99;26.22;19.80;32.41;21.87;17.24;42.40
128.84;25.81;19.41;32.07;21.58;17.03;42.57
130.71;25.34;19.03;30.98;21.19;16.78;42.73
132.62;24.97;18.76;29.67;20.85;16.60;42.91
134.54;24.79;18.68;28.74;20.74;16.60;43.15
136.50;24.73;18.83;28.57;20.90;16.79;43.43
138.49;24.67;19.16;29.19;21.29;17.12;43.63
140.50;24.55;19.60;30.38;21.79;17.51;43.64
142.54;24.40;20.02;31.81;22.27;17.91;43.42
144.62;24.22;20.35;33.06;22.56;18.21;42.97
146.72;23.98;20.53;33.59;22.54;18.33;42.36
148.86;23.70;20.56;33.13;22.19;18.24;41.65
151.02;23.41;20.48;31.80;21.59;17.97;40.93
153.22;23.10;20.30;29.91;20.81;17.57;40.24
155.45;22.67;20.01;27.82;19.93;17.07;39.59
157.71;22.08;19.59;25.86;19.07;16.49;39.00
160.00;21.35;19.06;24.24;18.31;15.89;38.49
162.33;20.64;18.49;23.08;17.71;15.33;38.10
164.69;20.11;17.95;22.36;17.30;14.84;37.84
167.08;19.87;17.50;22.01;17.06;14.45;37.72
169.51;19.93;17.12;21.93;16.95;14.12;37.71
171.98;20.18;16.81;22.03;16.91;13.81;37.78
174.48;20.51;16.54;22.19;16.89;13.50;37.90
177.02;20.85;16.32;22.39;16.89;13.21;38.04
179.59;21.21;16.16;22.63;16.91;13.00;38.18
182.21;21.60;16.10;22.92;16.97;12.90;38.34
184.86;21.96;16.12;23.25;17.05;12.91;38.51
187.55;22.25;16.16;23.55;17.13;13.01;38.68
190.27;22.47;16.21;23.77;17.22;13.17;38.87
193.04;22.67;16.27;23.85;17.33;13.34;39.06
195.85;22.86;16.35;23.77;17.44;13.49;39.25
198.70;23.11;16.46;23.59;17.57;13.62;39.45
201.59;23.48;16.61;23.45;17.76;13.75;39.66
204.52;23.99;16.83;23.46;18.01;13.89;39.87
207.49;24.55;17.08;23.62;18.30;14.02;40.09
210.51;24.99;17.31;23.80;18.56;14.10;40.28
213.57;25.18;17.48;23.84;18.72;14.13;40.45
216.68;25.15;17.58;23.74;18.77;14.10;40.60
219.83;25.04;17.63;23.60;18.76;14.04;40.74
223.03;25.02;17.68;23.55;18.77;14.00;40.87
226.27;25.16;17.74;23.66;18.83;13.99;40.98
229.57;25.47;17.79;23.90;18.94;14.00;41.07
232.91;25.80;17.82;24.19;19.06;14.03;41.11
