freq;euc;cana;ban;coco;cafe;gesso
32,21;31,661333;20,129;21,017333;20,3865;13,206;46,187
32,678;31,902;20,3245;20,764833;20,762333;13,4575;46,372833
33,154;32,234167;20,551;20,612167;21,2765;13,696333;46,545
33,636;32,6045;20,8065;20,567167;21,952;13,925333;46,711167
34,125;32,921333;21,0845;20,617167;22,749667;14,1505;46,877667
34,621;33,075667;21,375;20,744667;23,541833;14,380667;47,049167
35,125;32,974833;21,66825;20,9275;24,119;14,6215;47,223833
35,636;32,610333;21,95925;21,1535;24,3225;14,879333;47,401667
36,154;32,074833;22,2505;21,406833;24,1455;15,1565;47,581
36,68;31,530667;22,54825;21,666833;23,7405;15,456;47,762833
37,214;31,1175;22,86;21,9125;23,293833;15,774667;47,947167
37,755;30,9265;23,188;22,120167;22,9425;16,111167;48,138833
38,304;30,983;23,53175;22,272833;22,729333;16,463333;48,345667
38,861;31,268833;23,887;22,361167;22,641333;16,8345;48,578667
39,427;31,7465;24,25025;22,382;22,6495;17,2285;48,844833
40;32,3695;24,618;22,346167;22,734333;17,652333;49,149833
40,582;33,092667;24,98625;22,267333;22,8825;18,1015;49,491333
41,172;33,855167;25,3575;22,165;23,086833;18,563167;49,869333
41,771;34,5905;25,73275;22,052667;23,336;19,019333;50,283667
42,379;35,222167;26,11525;21,935833;23,616333;19,452833;50,734167
42,995;35,694167;26,5085;21,816;23,916833;19,859833;51,227167
43,62;35,994667;26,926;21,690667;24,238;20,2535;51,773333
44,255;36,156333;27,37575;21,554833;24,584;20,6535;52,380667
44,898;36,256167;27,85975;21,402833;24,9745;21,089333;53,0475
45,552;36,385;28,36575;21,228333;25,426167;21,582333;53,735833
46,214;36,6295;28,859;21,022333;25,948833;22,143833;54,3805
46,886;37,0525;29,30425;20,781667;26,5345;22,768;54,924833
47,568;37,671333;29,68975;20,509667;27,161667;23,437667;55,3645
48,26;38,436;30,0395;20,222167;27,801;24,1225;55,724167
48,962;39,242;30,4025;19,9545;28,427167;24,7935;55,989667
49,674;39,976167;30,81925;19,756;29,024667;25,426667;56,067833
50,397;40,609667;31,29175;19,6815;29,577;26,005667;55,834167
51,13;41,232333;31,8035;19,784;30,075;26,527333;55,239
51,874;41,953833;32,33275;20,099667;30,525167;27,0105;54,364333
52,628;42,725333;32,869;20,657333;30,955667;27,493833;53,393333
53,394;43,269667;33,40475;21,478833;31,413;28,028167;52,528667
54,17;43,221667;33,913;22,587;31,934167;28,651167;51,903333
54,958;42,393;34,3255;23,9705;32,521167;29,3695;51,525333
55,758;40,864333;34,5425;25,549667;33,121333;30,139167;51,244333
56,569;38,837833;34,44025;27,132333;33,632;30,861833;50,763833
57,391;36,4585;33,87775;28,413667;33,903167;31,372833;49,727
58,226;33,756;32,69575;29,040167;33,738;31,423333;47,893333
59,073;30,6995;30,76925;28,741667;32,867667;30,679667;45,260333
59,932;27,2885;28,11775;27,447333;30,982;28,837667;42,031
60,804;23,643167;24,963;25,309;27,9;25,865167;38,494
61,688;20,029667;21,68;22,646;23,830333;22,156833;34,956167
62,586;16,752167;18,64625;19,925;19,463;18,4515;31,792167
63,496;13,992833;16,112;17,645833;15,666333;15,513667;29,429167
64,42;11,787;14,237;16,117;13,043667;13,8335;28,188
65,357;10,154167;13,198;15,3605;11,776;13,5435;28,117833
66,307;9,218;13,09025;15,252167;11,6725;14,448167;28,964167
67,272;9,1313333;13,72475;15,637167;12,320667;16,099667;30,305333
68,25;9,9011667;14,6945;16,345;13,263667;17,919333;31,730667
69,243;11,331667;15,64525;17,205;14,1695;19,403333;32,962833
70,25;13,087;16,3675;18,095;14,867;20,258833;33,8585
71,272;14,776333;16,7445;18,9605;15,293;20,419333;34,3605
72,309;16,011667;16,69525;19,7715;15,423333;19,938167;34,462
73,36;16,498833;16,17975;20,454333;15,246333;18,887333;34,1955
74,427;16,1815;15,25725;20,8805;14,797333;17,362667;33,651667
75,51;15,292333;14,10825;20,964333;14,202167;15,564667;32,982167
76,608;14,204833;12,98775;20,7885;13,679667;13,811333;32,371
77,723;13,191833;12,08975;20,562333;13,461667;12,411;31,993
78,853;12,315833;11,4255;20,395167;13,651;11,495667;31,952667
80;11,514167;10,85775;20,171167;14,152167;10,998333;32,2535
81,164;10,7595;10,26575;19,677167;14,725167;10,74;32,782333
82,344;10,116167;9,65725;18,816167;15,114167;10,5365;33,358667
83,542;9,6806667;9,11625;17,668333;15,148167;10,262;33,815833
84,757;9,5046667;8,6925;16,423;14,780167;9,875;34,063167
85,99;9,558;8,37325;15,302;14,092833;9,4191667;34,1145
87,241;9,7345;8,1505;14,464833;13,245167;8,9721667;34,053
88,51;9,9095;8,07;13,961333;12,406667;8,6085;33,9845
89,797;9,9996667;8,2165;13,753;11,719667;8,3918333;33,995333
91,103;10,016333;8,6615;13,786333;11,300333;8,3868333;34,143167
92,428;10,041333;9,42075;14,027;11,211;8,6328333;34,4485
93,773;10,171167;10,4575;14,423833;11,430167;9,1095;34,8845
95,137;10,492333;11,6955;14,873667;11,885833;9,7588333;35,379833
96,52;11,114667;13,083;15,293667;12,582167;10,582167;35,870833
97,924;12,166667;14,6425;15,777;13,641667;11,6785;36,343
99,349;13,714333;16,397;16,609;15,176333;13,15;36,8375
100,794;15,633;18,21175;18,082833;17,076833;14,904833;37,3935
102,26;17,555167;19,74425;20,233;18,945833;16,567;37,9835
103,747;19,049167;20,66;22,712;20,316833;17,696833;38,529333
105,256;19,904667;20,8935;24,931667;20,958667;18,111833;38,967833
106,787;20,221333;20,6635;26,3765;20,973333;17,961833;39,2895
108,34;20,260667;20,27375;26,885667;20,667833;17,563;39,540167
109,916;20,286333;19,9485;26,740833;20,345167;17,179667;39,778833
111,515;20,481167;19,78025;26,419833;20,176833;16,930333;40,0515
113,137;20,975167;19,77625;26,269667;20,194;16,812667;40,366
114,783;21,838167;19,93575;26,405667;20,349333;16,787167;40,707667
116,452;22,984333;20,21825;26,774667;20,574;16,812833;41,042333
118,146;24,187333;20,50725;27,311667;20,838333;16,876167;41,342
119,865;25,241667;20,67625;28,079667;21,149833;16,9825;41,591333
121,608;26,011333;20,6625;29,194;21,5015;17,135;41,808
123,377;26,414167;20,4745;30,580167;21,808167;17,279833;42,0105
125,171;26,456333;20,16825;31,829167;21,951333;17,332333;42,206667
126,992;26,221667;19,7995;32,4135;21,868833;17,244667;42,395
128,839;25,806;19,40525;32,071;21,578833;17,032833;42,567333
130,713;25,339167;19,02825;30,983833;21,185;16,779;42,730167
132,615;24,974667;18,755;29,674167;20,8525;16,602667;42,914667
134,543;24,791167;18,67725;28,740333;20,738;16,599833;43,154667
136,5;24,728833;18,8265;28,568833;20,901167;16,791667;43,429333
138,486;24,668167;19,161;29,186167;21,286167;17,118833;43,6295
140,5;24,553;19,595;30,3765;21,7865;17,512;43,640833
142,544;24,4025;20,0245;31,813833;22,266833;17,9055;43,418
144,617;24,219167;20,35325;33,055167;22,5585;18,208667;42,9735
146,721;23,9835;20,5285;33,587667;22,536667;18,328667;42,356
148,855;23,703333;20,55675;33,130333;22,1915;18,2365;41,646667
151,02;23,413167;20,47575;31,7955;21,591667;17,972833;40,927667
153,217;23,098167;20,3025;29,9085;20,809;17,574167;40,236333
155,445;22,674667;20,014;27,824333;19,933;17,069;39,5875
157,706;22,078667;19,58825;25,858;19,067667;16,491667;38,997
160;21,351333;19,05675;24,242167;18,306167;15,893333;38,492833
162,327;20,637167;18,48775;23,08;17,709333;15,331;38,1035
164,688;20,1085;17,954;22,359167;17,296833;14,843333;37,843167
167,084;19,873167;17,496;22,007833;17,060167;14,445667;37,716167
169,514;19,928333;17,119;21,9325;16,953833;14,115;37,705833
171,98;20,180833;16,80975;22,026333;16,914333;13,809667;37,780333
174,481;20,5075;16,543;22,193333;16,894;13,5015;37,9005
177,019;20,847833;16,317;22,391;16,888;13,212333;38,037333
179,594;21,211333;16,16375;22,631833;16,914833;12,9985;38,184167
182,206;21,597333;16,10475;22,9245;16,9725;12,897333;38,339833
184,856;21,9575;16,1195;23,246167;17,046;12,910667;38,507
187,545;22,247333;16,16225;23,548167;17,1285;13,014;38,683167
190,273;22,472333;16,21325;23,770333;17,223;13,172167;38,867667
193,041;22,665;16,27375;23,850167;17,3275;13,341667;39,057333
195,849;22,860833;16,3505;23,7705;17,4395;13,492833;39,250833
198,697;23,110333;16,457;23,592667;17,5735;13,624833;39,450667
201,587;23,481667;16,61275;23,448833;17,759167;13,7545;39,659333
204,52;23,9925;16,828;23,457833;18,0125;13,892167;39,8745
207,494;24,552833;17,077;23,618833;18,304333;14,019667;40,086167
210,512;24,991;17,3085;23,7975;18,562;14,104667;40,281833
213,574;25,180833;17,478;23,842;18,719667;14,127167;40,454
216,681;25,149167;17,57675;23,735167;18,768833;14,097333;40,6045
219,833;25,043167;17,634;23,595333;18,762167;14,0445;40,740833
223,03;25,0165;17,681;23,550833;18,7675;14,001167;40,868
226,274;25,163;17,73575;23,658833;18,830333;13,988;40,984
229,565;25,467667;17,7935;23,896;18,943333;14,002833;41,072833
232,905;25,7955;17,819;24,188167;19,058167;14,026667;41,114167
236,292;25,978333;17,781;24,4795;19,125833;14,038833;41,093833
239,729;25,9675;17,68325;24,776167;19,133;14,034;41,016833
243,216;25,887167;17,57525;25,1085;19,0945;14,0125;40,893333
246,754;25,909167;17,50975;25,466667;19,031;13,966667;40,729167
250,343;26,071167;17,5085;25,760667;18,9565;13,888333;40,529167
253,984;26,2415;17,555;25,866167;18,870167;13,778167;40,306833
257,678;26,2815;17,61725;25,721667;18,7805;13,662667;40,090833
261,426;26,202667;17,6815;25,3925;18,703;13,582667;39,912
265,229;26,1275;17,7495;25,021167;18,646167;13,567667;39,788333
269,087;26,1375;17,81875;24,728167;18,609667;13,6155;39,716167
273,001;26,208167;17,874;24,552833;18,601;13,698833;39,673667
276,972;26,256167;17,8945;24,472333;18,638833;13,786;39,637167
281;26,224167;17,86775;24,450667;18,738167;13,8545;39,5875
285,088;26,120167;17,79675;24,484167;18,903833;13,897167;39,516167
289,234;25,989333;17,683;24,590167;19,111333;13,9145;39,4185
293,441;25,858833;17,52975;24,77;19,316167;13,9135;39,300167
297,71;25,751;17,34675;24,998333;19,465;13,8945;39,169667
302,04;25,6805;17,1585;25,243333;19,524333;13,854833;39,041167
306,433;25,653;16,98675;25,467667;19,479333;13,785667;38,9305
310,89;25,686833;16,84875;25,622333;19,327167;13,6775;38,851333
315,412;25,802;16,7575;25,668333;19,085333;13,527167;38,822333
320;25,9615;16,726;25,609333;18,795167;13,3405;38,8605
324,655;26,068833;16,75775;25,495667;18,5245;13,149167;38,984333
329,377;26,0375;16,83925;25,386833;18,3255;12,994333;39,190167
334,168;25,844333;16,93675;25,319167;18,212833;12,897333;39,438667
339,028;25,5475;17,0225;25,305167;18,166667;12,843333;39,672167
343,959;25,2505;17,091;25,352333;18,168;12,814833;39,863333
348,962;25,029;17,16675;25,468833;18,2055;12,801667;40,019
354,038;24,871667;17,27075;25,647833;18,285833;12,810833;40,169
359,188;24,711333;17,40425;25,863667;18,414167;12,842667;40,333333
364,412;24,494333;17,55625;26,081;18,596833;12,895667;40,525167
369,713;24,217;17,7215;26,286;18,8245;12,955667;40,738333
375,09;23,923667;17,90225;26,490833;19,090833;13,016833;40,968167
380,546;23,6855;18,1035;26,729667;19,3855;13,072833;41,206333
386,081;23,576167;18,33;27,026667;19,6935;13,123833;41,445
391,697;23,633833;18,58625;27,358667;19,9935;13,177;41,677667
397,395;23,849833;18,87825;27,661667;20,2615;13,2455;41,903333
403,175;24,166167;19,20975;27,8995;20,492167;13,3445;42,1315
409,039;24,512333;19,582;28,092833;20,696833;13,476667;42,365333
414,989;24,840833;19,98175;28,3085;20,901167;13,638;42,604833
421,025;25,164667;20,39575;28,624167;21,1385;13,833167;42,850667
427,149;25,5525;20,818;29,095667;21,439;14,069833;43,1045
433,362;26,083;21,24775;29,726833;21,816167;14,3535;43,375333
439,665;26,779833;21,68925;30,461833;22,2375;14,6685;43,6665
446,06;27,5825;22,14625;31,1965;22,634;14,988;43,977
452,548;28,387833;22,6135;31,812833;22,945167;15,285667;44,296667
459,131;29,113833;23,08175;32,250333;23,1765;15,549833;44,618167
465,809;29,716;23,53975;32,531833;23,385167;15,7855;44,943333
472,584;30,189833;23,97875;32,7325;23,624833;16,008667;45,283333
479,458;30,617167;24,408;32,910667;23,922167;16,240167;45,6665
486,432;31,1465;24,85975;33,119667;24,288167;16,4965;46,141667
493,507;31,8735;25,38125;33,4085;24,719167;16,786667;46,764667
500,686;32,757167;26,00325;33,7895;25,191833;17,1105;47,567833
507,968;33,667333;26,72925;34,207667;25,663667;17,461167;48,5285
515,357;34,508333;27,54325;34,589;26,1075;17,837167;49,5855
522,853;35,272;28,4185;34,897667;26,53;18,254833;50,676333
530,458;36,0015;29,322;35,174833;26,974167;18,7435;51,752
538,174;36,745333;30,2125;35,527167;27,5065;19,332833;52,769
546,002;37,555167;31,04875;36,071;28,192333;20,043333;53,711667
553,943;38,490833;31,79875;36,864;29,065667;20,883333;54,646833
562,001;39,621;32,4435;37,884833;30,105833;21,839667;55,717667
570,175;41,003167;32,987;39,048333;31,257833;22,878333;57,034333
578,469;42,6755;33,44675;40,240667;32,468;23,954667;58,554167
586,883;44,629333;33,84825;41,374;33,687;25,022833;60,0505
595,419;46,791167;34,20975;42,423833;34,857833;26,035833;61,208
604,08;49,033667;34,52775;43,437833;35,923667;26,9485;61,817167
612,866;51,2385;34,78625;44,501667;36,851;27,731333;61,916167
621,78;53,264667;34,9655;45,6895;37,632833;28,3855;61,718167
630,824;54,845833;35,057;47,064333;38,2525;28,927333;61,403
640;55,600833;35,0725;48,7015;38,651;29,361833;61,035833
649,309;55,265167;35,039;50,649167;38,747167;29,669;60,640667
658,753;53,972;34,98175;52,8275;38,514333;29,826833;60,288333
668,335;52,248167;34,907;54,9535;38,026333;29,827167;60,074167
678,056;50,673167;34,801;56,668667;37,437667;29,687667;60,044667
687,919;49,539167;34,6475;57,825167;36,895833;29,4405;60,123333
697,925;48,832667;34,45;58,558667;36,482667;29,130167;60,0975
708,076;48,4195;34,2355;59,092167;36,221833;28,809;59,725667
718,376;48,194333;34,04975;59,537;36,116333;28,524833;58,921667
728,825;48,113333;33,93775;59,8755;36,174667;28,304833;57,832333
739,426;48,152;33,91925;60,051833;36,3945;28,1485;56,724333
750,181;48,280167;33,98675;60,045667;36,743;28,039167;55,8205
761,093;48,442167;34,1025;59,854;37,152333;27,974;55,223333
772,163;48,541667;34,21525;59,431;37,497833;27,9625;54,9145
783,394;48,397;34,2665;58,694;37,585667;28,019167;54,800333
794,789;47,754167;34,21025;57,606667;37,2155;28,146833;54,761833
806,349;46,466667;34,03525;56,220167;36,308833;28,344667;54,7075
818,078;44,7;33,77825;54,645667;34,966833;28,6135;54,607667
829,977;42,838667;33,51075;52,998833;33,411;28,955;54,5015
842,05;41,193333;33,30425;51,366167;31,877667;29,356;54,464833
854,297;39,848833;33,2115;49,824333;30,547167;29,769;54,538
866,724;38,724333;33,26075;48,458;29,526833;30,127667;54,672833
879,33;37,7395;33,452;47,357333;28,851667;30,367667;54,746333
892,12;36,905167;33,75625;46,567167;28,497;30,451333;54,6705
905,097;36,295833;34,12125;46,039167;28,391833;30,378167;54,473833
918,262;35,972833;34,48875;45,6495;28,4395;30,181167;54,264167
931,618;35,9305;34,799;45,286;28,542667;29,901167;54,123
945,169;36,097667;35,004;44,917667;28,6225;29,588667;54,059
958,917;36,378167;35,08;44,581833;28,6155;29,299833;54,022
972,864;36,689;35,016;44,3165;28,472;29,086;53,952333
987,015;36,986;34,82175;44,107833;28,169167;28,972333;53,819167
1001,371;37,249667;34,5195;43,909833;27,725167;28,935833;53,6305
1015,937;37,4645;34,14275;43,690667;27,201667;28,9165;53,426
1030,714;37,606;33,716;43,438833;26,670667;28,846833;53,245333
1045,706;37,659333;33,25;43,136333;26,177333;28,676667;53,1055
1060,916;37,613833;32,74375;42,760833;25,731167;28,384167;52,987667
1076,347;37,455167;32,19975;42,303333;25,3095;27,9745;52,849167
1092,003;37,161;31,6335;41,778167;24,878167;27,476333;52,651
1107,887;36,737333;31,08725;41,221167;24,413;26,9355;52,381833
1124,001;36,252833;30,628;40,684667;23,917833;26,400667;52,067
1140,35;35,8245;30,32325;40,227833;23,440167;25,919167;51,766
1156,937;35,5685;30,224;39,902167;23,045167;25,5295;51,545333
1173,765;35,561333;30,35125;39,741833;22,788667;25,262667;51,455167
1190,838;35,83;30,6875;39,756;22,696;25,135667;51,518833
1208,159;36,345667;31,193;39,929333;22,763667;25,1395;51,736
1225,732;37,023833;31,81075;40,237;22,9685;25,251667;52,096833
1243,561;37,726333;32,49;40,644333;23,2795;25,4465;52,583167
1261,649;38,273667;33,19525;41,124833;23,6605;25,696333;53,144667
1280;38,494833;33,9145;41,661333;24,089;25,972167;53,693833
1298,618;38,313167;34,6435;42,239;24,557167;26,238667;54,125
1317,507;37,810667;35,3715;42,827833;25,076167;26,462667;54,365833
1336,67;37,159167;36,07825;43,3675;25,647;26,611667;54,398667
1356,113;36,498667;36,74575;43,779333;26,2465;26,658333;54,260833
1375,838;35,897333;37,36925;44,018833;26,806667;26,584;54,025333
1395,85;35,408;37,946;44,0895;27,213;26,3845;53,775
1416,153;35,1075;38,45975;44,011833;27,319333;26,069333;53,5685
1436,751;35,0555;38,86975;43,777333;27,001;25,643667;53,415667
1457,649;35,223333;39,12175;43,354667;26,227;25,107667;53,280333
1478,851;35,486833;39,169;42,730833;25,091167;24,481667;53,112167
1500,362;35,733167;39,01075;41,958667;23,802;23,854333;52,885167
1522,185;35,970833;38,71325;41,233833;22,649;23,396;52,618
1544,326;36,352333;38,412;40,909333;21,948;23,322333;52,384
1566,789;37,077333;38,30875;41,367167;21,9315;23,780833;52,262667
1589,578;38,267667;38,6275;42,713833;22,6575;24,766333;52,2755
1612,699;39,9045;39,53375;44,575667;24,011833;26,145667;52,394167
1636,156;41,771833;41,03825;46,312833;25,782167;27,753667;52,602
1659,955;43,457;42,96625;47,506667;27,739833;29,444;52,902333
1684,099;44,554833;45,046;48,1585;29,69;31,0425;53,269
1708,595;45,031333;47,021;48,512667;31,504833;32,278667;53,644333
1733,447;45,278667;48,718;48,806;33,144833;32,8295;53,976
1758,661;45,787833;50,069;49,164667;34,6575;32,5405;54,236167
1784,241;46,806833;51,08125;49,6055;36,144;31,593167;54,418833
1810,193;48,235;51,79375;50,084833;37,696833;30,357833;54,545167
1836,523;49,6875;52,2545;50,539833;39,298167;29,1295;54,662167
1863,236;50,6695;52,526;50,914833;40,753333;28,052167;54,839833
1890,338;50,819167;52,68575;51,1755;41,7415;27,173333;55,157
1917,833;50,039333;52,819;51,306667;42,029333;26,4815;55,680333
1945,729;48,477;53,00025;51,3165;41,636167;25,925;56,440167
1974,03;46,468167;53,29275;51,234;40,7575;25,435667;57,401833
2002,743;44,4875;53,685;51,103667;39,593;24,973333;58,438667
2031,873;43,023167;54,036;50,994;38,318833;24,570167;59,332833
2061,428;42,454667;54,13875;50,990333;37,125;24,327833;59,826167
2091,412;42,980167;53,933;51,1645;36,210333;24,377;59,777833
2121,832;44,563;53,63925;51,519833;35,708333;24,805;59,2805
2152,695;46,866333;53,58275;51,969167;35,631;25,595833;58,606
2184,007;49,288833;53,9275;52,379;35,868833;26,630167;58,015833
2215,774;51,199333;54,57525;52,631333;36,252667;27,744;57,622333
2248,003;52,219167;55,2605;52,673333;36,628833;28,794167;57,3805
2280,701;52,367;55,7175;52,532;36,918833;29,703333;57,198167
2313,874;52,009833;55,81;52,303;37,128333;30,4615;57,0455
2347,53;51,6295;55,58325;52,116;37,3215;31,133167;56,983333
2381,676;51,4985;55,21775;52,0725;37,587667;31,879;57,129833
2416,318;51,605333;54,92575;52,187333;37,975167;32,878;57,561167
2451,464;51,8315;54,815;52,386;38,448333;34,168333;58,237833
2487,122;52,112833;54,84025;52,5725;38,880167;35,498167;58,993333
2523,298;52,399833;54,874;52,727833;39,123833;36,395333;59,631833
2560;52,585333;54,79525;52,906;39,1;36,445;60,041
2597,236;52,501833;54,5435;53,143167;38,830167;35,554833;60,236333
2635,014;51,984333;54,117;53,3705;38,413167;33,995667;60,3225
2673,341;50,9715;53,54975;53,448833;37,972167;32,2245;60,4035
2712,226;49,605833;52,9115;53,3045;37,616;30,647333;60,505833
2751,676;48,195833;52,32375;53,024833;37,410167;29,466333;60,5805
2791,7;47,0475;51,9565;52,778833;37,359667;28,6545;60,596333
2832,306;46,353333;51,97825;52,679;37,414167;28,050667;60,575
2873,503;46,139333;52,472;52,733333;37,529;27,52;60,5125
2915,299;46,308167;53,364;52,904833;37,706667;27,036;60,335
2957,703;46,709167;54,4035;53,1535;37,986667;26,664;60,024167
3000,724;47,175667;55,20975;53,461667;38,398167;26,495333;59,715
3044,37;47,558;55,48525;53,847667;38,9405;26,588;59,601833
3088,652;47,839333;55,27925;54,347;39,647167;26,957;59,8145
3133,577;48,156833;55,02125;54,930333;40,618;27,555833;60,3825
3179,156;48,621;55,228;55,473833;41,923;28,2585;61,2395
3225,398;49,146333;56,1375;55,842833;43,454167;28,896333;62,190667
3272,312;49,477667;57,5295;55,980667;44,939667;29,396333;62,921
3319,909;49,351333;58,83;55,887333;46,106833;29,860333;63,129
3368,198;48,742333;59,44575;55,561;46,885;30,502167;62,744167
3417,19;48,031667;59,135;55,055;47,488167;31,448333;61,954
3466,894;47,738333;58,12725;54,573833;48,228;32,609667;61,015833
3517,321;47,963167;56,9385;54,4055;49,165833;33,7655;60,123167
3568,482;48,276833;56,0755;54,6715;50,076833;34,741;59,409333
3620,387;48,259167;55,83125;55,147667;50,754167;35,482167;59,0145
3673,046;47,904833;56,19;55,427667;51,0595;35,991167;59,080667
3726,472;47,450833;56,83075;55,268833;50,678667;36,188333;59,5855
3780,675;47,0895;57,29925;54,787167;49,2445;35,912667;60,278167
3835,666;46,865;57,311;54,363667;46,777333;35,076833;60,8605
3891,457;46,671667;57,022;54,401667;43,8315;33,801;61,187833
3948,06;46,335167;56,8945;55,019833;41,229833;32,423333;61,321333
4005,486;45,824667;57,189;55,858333;39,5955;31,384333;61,4945
4063,747;45,313;57,68725;56,255667;38,944167;30,933333;61,945333
4122,855;44,975167;58,0305;55,8205;38,694167;30,8935;62,6175
4182,824;44,9465;58,1745;54,832333;38,212167;30,862333;63,078833
4243,664;45,504167;58,395;53,993833;37,405;30,640833;62,8655
4305,39;46,953;58,85725;53,847;36,769667;30,374;61,974667
4368,013;49,2495;59,33775;54,460833;36,812167;30,243333;60,882167
4431,547;51,796167;59,49275;55,482333;37,425333;30,084;59,935167
4496,005;53,799;59,2985;56,384;37,946167;29,488667;58,989167
4561,401;54,8705;59,04975;56,7855;37,8425;28,3545;57,836667
4627,749;55,223;58,99275;56,691;37,246833;27,188;56,749
4695,061;55,344333;59,06275;56,384333;36,790167;26,774667;56,3365
4763,352;55,584833;58,95975;56,162333;36,896;27,445667;56,873333
4832,637;55,974333;58,473;56,2445;37,402;28,740667;58,021833
4902,929;56,263;57,7275;56,847667;37,982667;29,940833;59,298333
4974,244;56,147667;57,0605;57,9595;38,583167;30,8155;60,4805
5046,596;55,6215;56,7;59,0675;39,276667;31,729333;61,522167
5120;55,0495;56,6595;59,533333;39,972833;33,013833;62,378667
5194,472;54,783167;56,8795;59,288333;40,525833;34,468;63,090167
5270,027;54,88;57,33975;58,8745;41,0255;35,651333;63,882167
5346,682;55,233167;58,035;58,843667;41,786167;36,5105;64,989833
5424,451;55,689333;58,88825;59,192667;43,0005;37,330167;66,3525
5503,352;55,994167;59,7775;59,424667;44,481333;38,148333;67,5995
5583,399;55,853833;60,61975;59,173333;45,841667;38,697833;68,4005
5664,612;55,2095;61,3735;58,6205;46,8445;38,884333;68,754167
5747,006;54,4015;61,95825;58,198833;47,465667;38,9825;68,862667
5830,598;53,947;62,27125;58,115333;47,739167;39,326;68,835667
5915,406;54,134;62,30075;58,2305;47,717667;39,948833;68,667667
6001,447;54,856833;62,11525;58,2795;47,562667;40,575333;68,392667
6088,74;55,811;61,75475;58,220333;47,510667;40,951167;68,116167
6177,303;56,7325;61,2025;58,277333;47,654167;41,054;67,886333
6267,154;57,416667;60,5165;58,566667;47,858333;40,948833;67,571667
6358,312;57,704667;59,92425;58,848167;47,928333;40,690833;66,940667
6450,796;57,597167;59,6665;58,775;47,758333;40,395167;65,909333
6544,625;57,329333;59,7715;58,292333;47,317;40,197833;64,642667
6639,818;57,191333;60,06925;57,557333;46,671333;40,167833;63,380167
6736,397;57,258333;60,386;56,561167;46,0185;40,290667;62,239833
6834,38;57,396167;60,62625;55,113;45,472167;40,486;61,1485
6933,789;57,459167;60,6985;53,245;44,800833;40,651;59,900167
7034,643;57,327167;60,47225;51,326333;43,5485;40,688333;58,287
7136,964;56,841;59,8935;49,711167;41,496667;40,469333;56,2715
7240,773;55,868833;59,01075;48,385833;38,891167;39,818167;54,0465
7346,093;54,3415;57,7915;47,0375;36,1935;38,613667;51,865667
7452,944;52,2035;56,1615;45,483;33,797;36,990833;49,948333
7561,35;49,671667;54,244;43,905;32,0005;35,328167;48,501333
7671,332;47,537667;52,3915;42,5945;30,940667;33,908;47,606333
7782,915;46,752833;51,14325;41,736333;30,537167;32,824167;47,221333
7896,12;47,618167;51,04625;41,4825;30,728167;32,223;47,434
8010,971;49,591667;52,18525;41,9695;31,673167;32,363333;48,476333
8127,493;51,796;54,027;43,192;33,429333;33,3285;50,348167
8245,711;53,514;55,92425;44,921667;35,589;34,837333;52,606833
8365,647;54,348;57,5695;46,739833;37,5735;36,460833;54,707
8487,328;54,232667;58,8535;48,235;39,098833;37,885333;56,4385
