freq;euc;cana;ban;coco;cafe;gesso
20,291;25,820667;14,19475;24,884;15,2335;7,5973333;38,5685
20,586;25,915833;14,24675;25,152167;15,3585;7,6636667;38,8495
20,885;26,173833;14,38225;25,435667;15,520167;7,7755;39,122667
21,189;26,510667;14,54275;25,650167;15,689667;7,9201667;39,388
21,497;26,909;14,713;25,6735;15,842333;8,0803333;39,648333
21,81;27,3485;14,8875;25,424167;15,970333;8,239;39,905333
22,127;27,814167;15,06375;24,902167;16,0825;8,3826667;40,161167
22,449;28,302333;15,244;24,190167;16,204167;8,5035;40,4155
22,776;28,815667;15,434;23,423167;16,370167;8,6045;40,668
23,107;29,3605;15,6345;22,725833;16,6105;8,6968333;40,920833
23,443;29,9255;15,846;22,159833;16,936333;8,8016667;41,1805
23,784;30,458;16,06375;21,7255;17,319833;8,9383333;41,4545
24,13;30,8705;16,28;21,406667;17,699833;9,1173333;41,748
24,481;31,081;16,48325;21,2045;18,009167;9,339;42,063
24,837;31,0625;16,669;21,141;18,196667;9,5868333;42,388167
25,198;30,8795;16,833;21,233;18,251333;9,8325;42,702667
25,565;30,657833;16,98525;21,474333;18,205667;10,051667;42,9875
25,937;30,524167;17,13825;21,825333;18,1115;10,2255;43,2295
26,314;30,536167;17,305;22,220333;18,019667;10,354167;43,4285
26,697;30,671333;17,4965;22,590833;17,965;10,453333;43,598833
27,085;30,845833;17,71075;22,8905;17,967667;10,549333;43,760667
27,479;30,974167;17,94025;23,095333;18,0335;10,662833;43,9285
27,879;31,014833;18,1745;23,199667;18,168833;10,808;44,110333
28,284;30,988167;18,40825;23,2045;18,374333;10,987;44,303833
28,696;30,955833;18,63725;23,121;18,637667;11,194167;44,504
29,113;30,982667;18,86425;22,966167;18,928667;11,420167;44,7055
29,537;31,086;19,087;22,765;19,205333;11,657333;44,906667
29,966;31,233;19,29825;22,534833;19,436833;11,902833;45,112333
30,402;31,361833;19,48925;22,2815;19,616167;12,1555;45,325333
30,844;31,434333;19,657;21,995;19,7635;12,414333;45,545167
31,293;31,469333;19,80925;21,673833;19,917333;12,678667;45,767667
31,748;31,525833;19,9615;21,335167;20,115167;12,945167;45,984667
